d,n_rounds,lambda_idle,lambda_mr_idle,lambda_czz,dem_method,use_czz,basis,noise_model,independent_channels,error_rates,lattice_style,cz_direction,decoder,decoder_params,p,n_shots,n_fails,uuid
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.0056,10000,126,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.00587,10000,209,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.00613,10000,319,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.0064,10000,416,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.00667,10000,601,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.00693,10000,688,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.0072,10000,950,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.00747,10000,1204,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.00773,10000,1410,data_20250508_144642_f18e7d56.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,pymatching,{},0.008,10000,1727,data_20250508_144642_f18e7d56.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.0073,100000,3745,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.00757,100000,4716,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.00783,100000,5982,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.0081,100000,7657,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.00837,100000,9214,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.00863,100000,10929,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.0089,100000,13017,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.00917,100000,15240,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.00943,100000,17697,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,21,pymatching,{},0.0097,100000,20060,data_20250602_172413_7b840c28.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.001,10000000,0,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.002,10000000,1,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.003,10000000,67,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.004,10000000,826,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.005,4020000,2492,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.006,1790000,5596,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.007,910000,10868,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.008,530000,18751,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.009,340000,27981,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.01,240000,37340,data_20250630_183722_1c1ad308.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0093,1000,59,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.00957,1000,85,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.00983,1000,87,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0101,1000,103,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01037,1000,130,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01063,1000,132,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0109,1000,181,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01117,1000,206,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01143,1000,201,data_20250521_114535_2cbf1692.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0117,1000,239,data_20250521_114535_2cbf1692.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.0073,2000,153,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.00757,2000,170,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.00783,2000,224,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.0081,2000,274,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.00837,2000,326,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.00863,2000,387,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.0089,2000,472,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.00917,2000,512,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.00943,2000,589,data_20250924_143157_0c9173e3.csv
13,13,0.5,0.5,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,21,beliefmatching,{'max_bp_iters': 13},0.0097,2000,637,data_20250924_143157_0c9173e3.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.0001,100000,0,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00018,100000,0,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00031,100000,0,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00054,100000,0,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00095,100000,0,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00167,100000,0,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00293,100000,3,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00514,100000,1232,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00903,100000,35083,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.01585,100000,50116,data_20250513_190217_c2686a2b.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0093,1000,54,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.00957,1000,73,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.00983,1000,99,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0101,1000,92,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01037,1000,108,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01063,1000,128,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0109,1000,142,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01117,1000,186,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01143,1000,232,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0117,1000,224,data_20250521_125549_c656ae3f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0093,1000,61,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.00957,1000,89,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.00983,1000,87,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0101,1000,90,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01037,1000,115,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01063,1000,151,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0109,1000,173,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01117,1000,195,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.01143,1000,204,data_20250521_113027_3fe74db0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 13},0.0117,1000,250,data_20250521_113027_3fe74db0.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.0001,10000,0,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00018,10000,0,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00031,10000,0,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00054,10000,0,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00095,10000,0,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00167,10000,0,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00293,10000,0,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00514,10000,43,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00903,10000,2528,data_20250507_165459_f2d33d73.csv
13,13,0.0,0.0,1.0,corr_decomp,False,z,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.01585,10000,4960,data_20250507_165459_f2d33d73.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00095,100000,0,data_20250514_110451_1407cbd5.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00167,100000,0,data_20250514_110451_1407cbd5.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00293,100000,3,data_20250514_110451_1407cbd5.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00514,100000,160,data_20250514_110451_1407cbd5.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.0001,10000000,0,data_20250509_120643_fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00018,10000000,0,data_20250509_120643_fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00031,10000000,0,data_20250509_120643_fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00054,10000000,0,data_20250509_120643_fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00095,10000000,0,data_20250509_120643_fca1d3bf.csv
